model_a,model_b,eval_repr,alignment_source,jaccard_at_k_mean,frobenius_cultural_similarity,axis_abs_projection_diff_mean,axis_signed_projection_diff_mean,procrustes_anchor_residual_fro,procrustes_anchor_residual_per_anchor
en_50m,en_bul_a,pre_lmhead_contextual,embedding_matrix,-0.008638823722800448,0.051238441467285165,0.05401297291119889,0.2214924831315875,109.87926483154295,0.0366264216105143
en_50m,en_bul_a,pre_lmhead_contextual,pre_lmhead_contextual,-0.008638823722800448,0.051238365173339864,0.05401273926099126,0.2214924722164869,498.5123596191406,0.1661707865397135
en_50m,en_deu_a,pre_lmhead_contextual,embedding_matrix,0.008295516531109381,0.007239303588867263,0.3171678562959035,0.2804101219028234,112.64807891845705,0.0375493596394856
en_50m,en_deu_a,pre_lmhead_contextual,pre_lmhead_contextual,0.008295516531109381,0.007239326477050764,0.3171677418549854,0.2804097701981664,494.7021789550781,0.1649007263183593
en_50m,en_fas_a,pre_lmhead_contextual,embedding_matrix,0.024856333388948992,0.04664514923095707,0.2458033915360769,-0.2347562412917614,116.12281036376952,0.0387076034545898
en_50m,en_fas_a,pre_lmhead_contextual,pre_lmhead_contextual,0.024856333388948992,0.04664514923095707,0.24580387314160657,-0.2347564900666475,527.4338989257812,0.175811299641927
en_50m,en_fr_a,pre_lmhead_contextual,embedding_matrix,-0.004234012879957616,-0.017711593627929637,0.1082398339112598,-0.0169023068249225,114.57160949707033,0.0381905364990234
en_50m,en_fr_a,pre_lmhead_contextual,pre_lmhead_contextual,-0.004234012879957616,-0.01771160125732414,0.108239960273107,-0.016901966407895,462.5540771484375,0.1541846923828125
en_50m,en_ind_a,pre_lmhead_contextual,embedding_matrix,0.01716421214260344,0.027233741760253963,0.10701993187268544,0.0596539987623691,112.70218658447266,0.0375673955281575
en_50m,en_ind_a,pre_lmhead_contextual,pre_lmhead_contextual,0.01716421214260344,0.027233772277832066,0.10701989849408466,0.0596533691696822,498.9384765625,0.1663128255208333
en_50m,en_nld_a,pre_lmhead_contextual,embedding_matrix,-0.0006079682106673312,0.008896286010742258,0.14457928617795313,0.108530199775123,113.97154998779295,0.0379905166625976
en_50m,en_nld_a,pre_lmhead_contextual,pre_lmhead_contextual,-0.0006079682106673312,0.008896293640136763,0.14457982261975655,0.1085298269632039,509.4896545410156,0.1698298848470052
en_50m,en_ukr_a,pre_lmhead_contextual,embedding_matrix,0.024536028279368405,0.010978691101074259,0.5822115584214527,0.4701820308901369,114.54871368408205,0.0381829045613606
en_50m,en_ukr_a,pre_lmhead_contextual,pre_lmhead_contextual,0.024536028279368405,0.010978698730468764,0.5822120376427962,0.4701826832816004,517.03759765625,0.1723458658854166
en_50m,en_zh_a,pre_lmhead_contextual,embedding_matrix,0.0384392800415313,0.09513985443115237,0.17166409214337675,0.0082669369876384,115.6995849609375,0.0385665283203125
en_50m,en_zh_a,pre_lmhead_contextual,pre_lmhead_contextual,0.0384392800415313,0.09513983917236336,0.17166349848111473,0.0082670556008815,575.5438842773438,0.1918479614257812
en_100m,en_bul_a,pre_lmhead_contextual,embedding_matrix,0.00017069240004785602,0.08684501902262363,0.47325214147567785,0.0366562884300947,128.57183837890625,0.0428572794596354
en_100m,en_bul_a,pre_lmhead_contextual,pre_lmhead_contextual,0.00017069240004785602,0.08684495798746743,0.47325072765350384,0.0366562431305646,646.7565307617188,0.2155855102539062
en_100m,en_deu_a,pre_lmhead_contextual,embedding_matrix,0.015276755374807993,0.03069523874918613,0.6199955964088439,0.0955738958716392,131.0449981689453,0.0436816660563151
en_100m,en_deu_a,pre_lmhead_contextual,pre_lmhead_contextual,0.015276755374807993,0.030695177714029923,0.6199946665763858,0.0955733551084995,626.30810546875,0.2087693684895833
en_100m,en_fas_a,pre_lmhead_contextual,embedding_matrix,0.029005690011191687,0.07604213205973302,0.7255411195755008,-0.4195931634306907,136.1968536376953,0.0453989512125651
en_100m,en_fas_a,pre_lmhead_contextual,pre_lmhead_contextual,0.029005690011191687,0.07604211680094404,0.7255416655540472,-0.4195932510495186,688.6239624023438,0.2295413208007812
en_100m,en_fr_a,pre_lmhead_contextual,embedding_matrix,0.005360406275272567,0.0006503245035807403,0.46652750015258837,-0.2017381808161735,131.24069213867188,0.0437468973795572
en_100m,en_fr_a,pre_lmhead_contextual,pre_lmhead_contextual,0.005360406275272567,0.0006503092447916331,0.46652700662612956,-0.2017378506809473,591.2953491210938,0.1970984497070312
en_100m,en_ind_a,pre_lmhead_contextual,embedding_matrix,0.012955952011983518,0.051209078470865824,0.3689315104484563,-0.125183310508728,130.70321655273438,0.0435677388509114
en_100m,en_ind_a,pre_lmhead_contextual,pre_lmhead_contextual,0.012955952011983518,0.051209078470865824,0.3689316558837894,-0.125183727145195,616.2918701171875,0.2054306233723958
en_100m,en_nld_a,pre_lmhead_contextual,embedding_matrix,0.006285977825074007,0.03142787424723305,0.25951594114303633,-0.0763061994314193,131.7855682373047,0.0439285227457682
en_100m,en_nld_a,pre_lmhead_contextual,pre_lmhead_contextual,0.006285977825074007,0.03142782847086582,0.25951509475708034,-0.076306187659502,642.9588623046875,0.2143196207682291
en_100m,en_ukr_a,pre_lmhead_contextual,embedding_matrix,0.023468877280821032,0.03518553415934243,0.9399855256080629,0.2853463409096002,134.48602294921875,0.0448286743164062
en_100m,en_ukr_a,pre_lmhead_contextual,pre_lmhead_contextual,0.023468877280821032,0.035185549418131526,0.939985439777375,0.2853455835580826,648.818603515625,0.2162728678385416
en_100m,en_zh_a,pre_lmhead_contextual,embedding_matrix,0.050832075433804635,0.13020794932047525,0.5918365550041198,-0.1765690866112709,135.87464904785156,0.0452915496826171
en_100m,en_zh_a,pre_lmhead_contextual,pre_lmhead_contextual,0.050832075433804635,0.13020794932047525,0.5918374943733218,-0.1765687537193298,756.8822021484375,0.2522940673828125
