step,language,repr_type,axis_abs_projection_diff_mean,jaccard_at_k_mean,frobenius_cultural_similarity,procrustes_anchor_residual_per_anchor
500,BUL,embedding_matrix,0.06945389561355114,0.6133326644997356,0.09352239990234375,0.02486937967936198
1000,BUL,embedding_matrix,0.1194076170027256,0.6326126948803883,0.11190856170654297,0.036931566874186195
1500,BUL,embedding_matrix,0.14338256552815437,0.6323460324523258,0.11534613037109374,0.041934247334798176
2000,BUL,embedding_matrix,0.14702959597110749,0.6298822329362093,0.11581804656982422,0.04329193115234375
2500,BUL,embedding_matrix,0.14831537783145904,0.6289494343907842,0.11584600830078125,0.043178141276041665
3000,BUL,embedding_matrix,0.14731740608811378,0.6259277138578704,0.1154097900390625,0.04285727945963542
500,BUL,pre_lmhead_contextual,2.6626745104789733,0.8395199700166507,0.1303115234375,0.21200026448567708
1000,BUL,pre_lmhead_contextual,1.952225729227066,0.7971098480807264,0.14005105590820313,0.16648882039388022
1500,BUL,pre_lmhead_contextual,2.5097296762466432,0.820050796545383,0.22100621032714843,0.17357674153645833
2000,BUL,pre_lmhead_contextual,2.8103022718429567,0.7892616709324568,0.18197077941894532,0.18907674153645834
2500,BUL,pre_lmhead_contextual,3.281699719429016,0.7753556078775516,0.18143882751464843,0.20368743896484376
3000,BUL,pre_lmhead_contextual,3.45830445766449,0.7721143954356235,0.18976016235351562,0.21566343180338543
500,DEU,embedding_matrix,0.06898170687258244,0.6099832614045632,0.08709822082519532,0.025216687520345053
1000,DEU,embedding_matrix,0.12179349273443223,0.6378252209586067,0.11192205047607422,0.03750173695882161
1500,DEU,embedding_matrix,0.14648147523403168,0.6451707539697815,0.11796537017822266,0.04265592193603516
2000,DEU,embedding_matrix,0.15091392040252685,0.6451442841303394,0.11667977142333984,0.04403846740722656
2500,DEU,embedding_matrix,0.15061045795679093,0.6422950410944687,0.11657279968261719,0.043972142537434894
3000,DEU,embedding_matrix,0.14973312124609947,0.6416284936533048,0.11626558685302735,0.043681666056315106
500,DEU,pre_lmhead_contextual,2.9768186235427856,0.8600554714675889,0.1441333770751953,0.20829329427083335
1000,DEU,pre_lmhead_contextual,2.1592836737632752,0.827441680592694,0.14406985473632813,0.16594016520182292
1500,DEU,pre_lmhead_contextual,2.725930118560791,0.8379184107359458,0.190563232421875,0.17389752197265626
2000,DEU,pre_lmhead_contextual,3.03340106010437,0.8049745294890747,0.15319883728027345,0.1886235148111979
2500,DEU,pre_lmhead_contextual,3.4596438598632813,0.7922455295363293,0.13533216857910157,0.1971330362955729
3000,DEU,pre_lmhead_contextual,3.61580358505249,0.7870318707285048,0.1336962432861328,0.20880405680338543
500,FAS,embedding_matrix,0.07711065091192722,0.6425332359552656,0.11096784973144531,0.026019678751627605
1000,FAS,embedding_matrix,0.13169211089611055,0.6588310578168782,0.1296795654296875,0.038889132181803385
1500,FAS,embedding_matrix,0.1574302178621292,0.6675131343654422,0.13689193725585938,0.04407919311523437
2000,FAS,embedding_matrix,0.16517439916729926,0.6715146574142714,0.14045166015625,0.04559040323893229
2500,FAS,embedding_matrix,0.168340719640255,0.6711022691082252,0.1405875701904297,0.045612075805664065
3000,FAS,embedding_matrix,0.16776699900627137,0.6704046578510177,0.14057846069335939,0.045398956298828126
500,FAS,pre_lmhead_contextual,2.942192165851593,0.8826656868041696,0.16759434509277343,0.20223586018880207
1000,FAS,pre_lmhead_contextual,1.9969228971004487,0.8262062189371038,0.16023861694335936,0.1675939229329427
1500,FAS,pre_lmhead_contextual,2.5857253646850586,0.8492320399720439,0.20249948120117187,0.179443603515625
2000,FAS,pre_lmhead_contextual,2.8479834008216858,0.8203446956061955,0.16975802612304688,0.19531422932942707
2500,FAS,pre_lmhead_contextual,3.6295685744285584,0.802842295889837,0.19440019226074218,0.22141678873697918
3000,FAS,pre_lmhead_contextual,3.711137492656708,0.8009308988103269,0.17876411437988282,0.22945625813802084
500,FR,embedding_matrix,0.06786012530326843,0.6119426853530211,0.08434478759765625,0.025665552775065104
1000,FR,embedding_matrix,0.12004713416099548,0.6320240920581203,0.10662738800048828,0.03789236450195312
1500,FR,embedding_matrix,0.1405869260430336,0.634304597096585,0.10929545593261719,0.04280657958984375
2000,FR,embedding_matrix,0.1439432406425476,0.6273095420781722,0.10802075958251953,0.04412922668457031
2500,FR,embedding_matrix,0.1446803805232048,0.6257904863641022,0.10743053436279297,0.04405710856119792
3000,FR,embedding_matrix,0.1438962325453758,0.6229817955689783,0.10671736907958984,0.04374689737955729
500,FR,pre_lmhead_contextual,3.0123594856262206,0.8590739419657761,0.18110594177246095,0.2046104736328125
1000,FR,pre_lmhead_contextual,2.3515201687812803,0.8461104145341896,0.20925703430175782,0.149470703125
1500,FR,pre_lmhead_contextual,2.633430452346802,0.8321651623685927,0.13603713989257812,0.15890598551432292
2000,FR,pre_lmhead_contextual,2.6584419989585877,0.80245007361176,0.12533206939697267,0.16715139770507811
2500,FR,pre_lmhead_contextual,3.2994121146202087,0.7806266553956882,0.10258363342285157,0.1879610595703125
3000,FR,pre_lmhead_contextual,3.4627600955963134,0.7770449816799757,0.10355000305175781,0.1970805460611979
500,IND,embedding_matrix,0.06705162592232228,0.6152049029551554,0.08622624206542968,0.025324658711751304
1000,IND,embedding_matrix,0.12062520891427994,0.6338374850092261,0.11160635375976563,0.03747902425130208
1500,IND,embedding_matrix,0.14152612760663033,0.6337646861018245,0.1137308349609375,0.042560546875
2000,IND,embedding_matrix,0.14889158084988594,0.6340810302307271,0.11434129333496093,0.04394013977050781
2500,IND,embedding_matrix,0.14952633827924727,0.6338829936357919,0.11376819610595704,0.04384835815429688
3000,IND,embedding_matrix,0.1486925081908703,0.6339393442367414,0.11320645141601562,0.04356773885091146
500,IND,pre_lmhead_contextual,2.78417929649353,0.8637276123140691,0.17820716857910157,0.1941495361328125
1000,IND,pre_lmhead_contextual,2.2702273416519163,0.8389005635985063,0.16132362365722655,0.16134761555989582
1500,IND,pre_lmhead_contextual,2.4582202863693237,0.8504937635699596,0.1675037841796875,0.17407234700520832
2000,IND,pre_lmhead_contextual,2.7330428886413576,0.807959025365053,0.15499473571777345,0.19047519938151042
2500,IND,pre_lmhead_contextual,3.3973194646835325,0.7899704128570636,0.1509464874267578,0.1973746337890625
