model_a,model_b,layer,axis_abs_projection_diff_mean
en_50m,en_zh_a,0,0.14899283289909362
en_50m,en_zh_a,1,2042.79884765625
en_50m,en_zh_a,2,2126.9152111816406
en_50m,en_zh_a,3,2188.3351672363283
en_50m,en_zh_a,4,2205.2549353027343
en_50m,en_zh_a,5,2158.8021948242185
en_50m,en_zh_a,6,2095.6572216796876
en_50m,en_zh_a,7,2005.0387438964844
en_50m,en_zh_a,8,1954.4822827148437
en_50m,en_zh_a,9,1738.3760266113281
en_50m,en_zh_a,10,1643.6803637695311
en_50m,en_zh_a,11,1811.693331298828
en_50m,en_zh_a,12,2.3975344681739807
en_50m,en_fr_a,0,0.12553051650524139
en_50m,en_fr_a,1,1156.1194903564453
en_50m,en_fr_a,2,1254.4143084716798
en_50m,en_fr_a,3,1406.7579864501954
en_50m,en_fr_a,4,1462.6815478515625
en_50m,en_fr_a,5,1472.2917510986329
en_50m,en_fr_a,6,1483.6211193847657
en_50m,en_fr_a,7,1457.2528515625
en_50m,en_fr_a,8,1413.8896124267578
en_50m,en_fr_a,9,1253.6496643066407
en_50m,en_fr_a,10,1127.1720178222656
en_50m,en_fr_a,11,1206.7854803466796
en_50m,en_fr_a,12,2.3325721645355224
en_50m,en_fas_a,0,0.14362328261137008
en_50m,en_fas_a,1,1796.8141662597657
en_50m,en_fas_a,2,2043.4906042480468
en_50m,en_fas_a,3,2111.4723889160155
en_50m,en_fas_a,4,2112.4373681640627
en_50m,en_fas_a,5,2043.5256848144531
en_50m,en_fas_a,6,1936.6419958496094
en_50m,en_fas_a,7,1720.5328063964844
en_50m,en_fas_a,8,1514.3924694824218
en_50m,en_fas_a,9,1424.7248791503907
en_50m,en_fas_a,10,1472.8527380371095
en_50m,en_fas_a,11,1738.474560546875
en_50m,en_fas_a,12,2.468715002536774
en_50m,en_nld_a,0,0.13093025013804435
en_50m,en_nld_a,1,1320.828017578125
en_50m,en_nld_a,2,1405.238797607422
en_50m,en_nld_a,3,1576.5055554199218
en_50m,en_nld_a,4,1690.916700439453
en_50m,en_nld_a,5,1692.4025537109376
en_50m,en_nld_a,6,1670.6781286621094
en_50m,en_nld_a,7,1637.5691479492189
en_50m,en_nld_a,8,1468.6705541992187
en_50m,en_nld_a,9,1422.662064819336
en_50m,en_nld_a,10,1228.0639611816407
en_50m,en_nld_a,11,1238.0154736328125
en_50m,en_nld_a,12,2.3664053654670716
en_50m,en_ukr_a,0,0.14777325794100762
en_50m,en_ukr_a,1,1436.8665905761718
en_50m,en_ukr_a,2,1496.9972351074218
en_50m,en_ukr_a,3,1507.9544775390625
en_50m,en_ukr_a,4,1522.898154296875
en_50m,en_ukr_a,5,1522.2438525390626
en_50m,en_ukr_a,6,1487.3454626464843
en_50m,en_ukr_a,7,1349.4908447265625
en_50m,en_ukr_a,8,1198.261192626953
en_50m,en_ukr_a,9,1128.1446087646484
en_50m,en_ukr_a,10,1154.3445654296875
en_50m,en_ukr_a,11,1389.6747644042969
en_50m,en_ukr_a,12,2.8015167784690855
en_50m,en_bul_a,0,0.12516233772039415
en_50m,en_bul_a,1,1650.1051330566406
en_50m,en_bul_a,2,1714.5551049804687
en_50m,en_bul_a,3,1859.0882592773437
en_50m,en_bul_a,4,2025.8050146484375
en_50m,en_bul_a,5,2221.5091528320313
en_50m,en_bul_a,6,2240.0290197753907
en_50m,en_bul_a,7,2106.931590576172
en_50m,en_bul_a,8,1977.9984313964844
en_50m,en_bul_a,9,1627.0599230957032
en_50m,en_bul_a,10,1190.6710498046875
en_50m,en_bul_a,11,1240.2649255371093
en_50m,en_bul_a,12,2.275757429599762
en_50m,en_ind_a,0,0.127398844063282
en_50m,en_ind_a,1,1211.884375
en_50m,en_ind_a,2,1314.5437805175782
en_50m,en_ind_a,3,1495.9557678222657
en_50m,en_ind_a,4,1608.6375341796875
en_50m,en_ind_a,5,1632.3821923828125
en_50m,en_ind_a,6,1671.6008349609374
en_50m,en_ind_a,7,1604.307353515625
en_50m,en_ind_a,8,1448.8814825439454
en_50m,en_ind_a,9,1201.5717651367188
en_50m,en_ind_a,10,1213.982737426758
en_50m,en_ind_a,11,1298.3381616210938
en_50m,en_ind_a,12,2.3302363896369935
en_50m,en_deu_a,0,0.13078669473528862
en_50m,en_deu_a,1,1509.4925415039063
en_50m,en_deu_a,2,1568.979384765625
en_50m,en_deu_a,3,1690.2087719726562
en_50m,en_deu_a,4,1757.2235778808595
en_50m,en_deu_a,5,1820.4428588867188
en_50m,en_deu_a,6,1863.3045336914063
en_50m,en_deu_a,7,1855.7658752441407
en_50m,en_deu_a,8,1892.4710217285156
en_50m,en_deu_a,9,1995.84109375
en_50m,en_deu_a,10,1431.0908129882812
en_50m,en_deu_a,11,1262.4424536132813
en_50m,en_deu_a,12,2.540064468383789
en_100m,en_zh_a,0,0.16755909070372582
en_100m,en_zh_a,1,2410.066164550781
en_100m,en_zh_a,2,2505.212736816406
en_100m,en_zh_a,3,2588.437147216797
en_100m,en_zh_a,4,2569.199108886719
en_100m,en_zh_a,5,2543.806882324219
en_100m,en_zh_a,6,2560.1538916015625
en_100m,en_zh_a,7,2498.4643090820314
en_100m,en_zh_a,8,2316.2925341796877
en_100m,en_zh_a,9,1859.6795776367187
en_100m,en_zh_a,10,1662.3778833007811
en_100m,en_zh_a,11,1718.0226916503907
en_100m,en_zh_a,12,3.5899878787994384
en_100m,en_fr_a,0,0.14389624029397965
en_100m,en_fr_a,1,1836.455859375
en_100m,en_fr_a,2,1955.5391723632813
en_100m,en_fr_a,3,2118.1341577148437
en_100m,en_fr_a,4,2176.2372668457033
en_100m,en_fr_a,5,2250.5345239257813
en_100m,en_fr_a,6,2358.1509448242186
en_100m,en_fr_a,7,2342.708994140625
en_100m,en_fr_a,8,2152.1752746582033
en_100m,en_fr_a,9,1683.9155102539062
en_100m,en_fr_a,10,1391.129521484375
en_100m,en_fr_a,11,1356.954844970703
en_100m,en_fr_a,12,3.4660508131980894
en_100m,en_fas_a,0,0.16776698231697082
en_100m,en_fas_a,1,2439.894276123047
en_100m,en_fas_a,2,2691.367052001953
en_100m,en_fas_a,3,2809.7555688476564
en_100m,en_fas_a,4,2802.1218310546874
en_100m,en_fas_a,5,2795.976408691406
en_100m,en_fas_a,6,2780.1140283203126
en_100m,en_fas_a,7,2651.630183105469
en_100m,en_fas_a,8,2360.6335656738283
en_100m,en_fas_a,9,1977.6444750976561
en_100m,en_fas_a,10,1806.150382080078
en_100m,en_fas_a,11,1923.2910107421876
en_100m,en_fas_a,12,3.720424783229828
en_100m,en_nld_a,0,0.15150565505027772
en_100m,en_nld_a,1,1915.4144189453125
en_100m,en_nld_a,2,2022.8360632324218
en_100m,en_nld_a,3,2176.322381591797
en_100m,en_nld_a,4,2256.310393066406
en_100m,en_nld_a,5,2324.3410229492188
en_100m,en_nld_a,6,2372.2083056640627
en_100m,en_nld_a,7,2345.6818359375
en_100m,en_nld_a,8,2077.1223596191408
en_100m,en_nld_a,9,1734.5074536132813
en_100m,en_nld_a,10,1487.9902600097657
en_100m,en_nld_a,11,1447.28734375
en_100m,en_nld_a,12,3.253721680641174
en_100m,en_ukr_a,0,0.16716551661491394
en_100m,en_ukr_a,1,2081.265057373047
en_100m,en_ukr_a,2,2177.4302563476563
en_100m,en_ukr_a,3,2260.7482275390626
en_100m,en_ukr_a,4,2282.2665246582033
en_100m,en_ukr_a,5,2336.2635302734375
en_100m,en_ukr_a,6,2403.184937744141
en_100m,en_ukr_a,7,2286.5299938964845
en_100m,en_ukr_a,8,1981.3155859375
en_100m,en_ukr_a,9,1674.730975341797
en_100m,en_ukr_a,10,1468.534122314453
en_100m,en_ukr_a,11,1671.8143811035156
en_100m,en_ukr_a,12,3.935622274875641
en_100m,en_bul_a,0,0.14731739491224288
en_100m,en_bul_a,1,2099.7147631835937
en_100m,en_bul_a,2,2203.8876379394533
en_100m,en_bul_a,3,2386.2671875
en_100m,en_bul_a,4,2525.586055908203
en_100m,en_bul_a,5,2703.2038586425783
en_100m,en_bul_a,6,2775.8987280273436
en_100m,en_bul_a,7,2621.5523681640625
en_100m,en_bul_a,8,2423.0121875
en_100m,en_bul_a,9,1890.4052526855469
en_100m,en_bul_a,10,1491.5846704101561
en_100m,en_bul_a,11,1458.320654296875
en_100m,en_bul_a,12,3.471562922000885
en_100m,en_ind_a,0,0.14869251281023024
en_100m,en_ind_a,1,1791.279208984375
en_100m,en_ind_a,2,1913.0457946777344
en_100m,en_ind_a,3,2052.961112060547
en_100m,en_ind_a,4,2071.3227807617186
en_100m,en_ind_a,5,2099.538291015625
en_100m,en_ind_a,6,2185.2623962402345
en_100m,en_ind_a,7,2117.3210546875
en_100m,en_ind_a,8,1900.5303735351563
en_100m,en_ind_a,9,1596.9412634277344
en_100m,en_ind_a,10,1393.366014404297
en_100m,en_ind_a,11,1418.8114721679688
en_100m,en_ind_a,12,3.3661947369575502
en_100m,en_deu_a,0,0.14973313003778457
en_100m,en_deu_a,1,2023.2847631835937
en_100m,en_deu_a,2,2117.2063708496094
en_100m,en_deu_a,3,2246.013582763672
en_100m,en_deu_a,4,2309.740380859375
en_100m,en_deu_a,5,2423.5516845703123
en_100m,en_deu_a,6,2574.8064611816408
en_100m,en_deu_a,7,2591.243879394531
en_100m,en_deu_a,8,2516.645213623047
en_100m,en_deu_a,9,2390.774970703125
en_100m,en_deu_a,10,1776.354022216797
en_100m,en_deu_a,11,1531.42015625
en_100m,en_deu_a,12,3.6177026557922365
