scope,repr_type,model_a,model_b,normalization,axis_abs_projection_diff_mean,axis_abs_projection_diff_max,axis_signed_projection_diff_mean,axes_used,axes_skipped,neutral_projection_sd_a_mean,neutral_projection_sd_b_mean,cultural_norm_a_mean,cultural_norm_b_mean
final,embedding_matrix,en_50m,en_zh_a,row_l2,0.10153582349419593,0.5713756680488586,-0.009849324238457484,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_zh_a,neutral_z,0.7637094354629517,6.385344505310059,-0.015130154793150724,50,0,0.16295626387000084,0.22229936659336091,1.3389452695846558,1.4772119522094727
final,embedding_matrix,en_50m,en_fr_a,row_l2,0.08271861523389816,0.42118433117866516,0.0008843274338869378,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_fr_a,neutral_z,0.7273247873783112,5.922356605529785,0.024709045998752118,50,0,0.16295624479651452,0.184330098927021,1.3389452695846558,1.6349390745162964
final,embedding_matrix,en_50m,en_fas_a,row_l2,0.09778015077114105,0.6218525171279907,-0.009757565118998173,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_fas_a,neutral_z,0.7585511898994446,5.916566848754883,-0.03386366601102054,50,0,0.16295626521110534,0.2182730284333229,1.3389452695846558,1.4759756326675415
final,embedding_matrix,en_50m,en_nld_a,row_l2,0.0858827681839466,0.45532166957855225,-0.0010559271153761074,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_nld_a,neutral_z,0.7018020474910736,4.9910430908203125,0.011895170924253762,50,0,0.16295623928308486,0.2097630274295807,1.3389452695846558,1.586435317993164
final,embedding_matrix,en_50m,en_ukr_a,row_l2,0.09973445847630501,0.6137867569923401,0.008588423271139617,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_ukr_a,neutral_z,0.7436214166879654,5.335599899291992,0.025722330676435378,50,0,0.1629562683403492,0.22819690972566606,1.3389452695846558,1.5120580196380615
final,embedding_matrix,en_50m,en_bul_a,row_l2,0.0849629831314087,0.460792601108551,-0.0015307889424002496,50,0,,,1.0,1.0
final,embedding_matrix,en_50m,en_bul_a,neutral_z,0.6817667657136917,5.797992706298828,0.017779799345880747,50,0,0.1629563058912754,0.20036212533712386,1.3389455080032349,1.5063374042510986
final,embedding_matrix,en_50m,en_ind_a,row_l2,0.08551435753703117,0.4949316680431366,0.004139324829448014,50,0,,,1.0,1.0
