model_a,model_b,layer,head,axis_abs_projection_diff_mean
en_50m,en_bul_a,4,0,1190.2539654541015
en_50m,en_bul_a,4,1,755.5963455200196
en_50m,en_bul_a,4,2,537.3356546020508
en_50m,en_bul_a,4,3,588.2209060668945
en_50m,en_bul_a,4,4,728.400883178711
en_50m,en_bul_a,4,5,730.6642041015625
en_50m,en_bul_a,4,6,475.82768585205076
en_50m,en_bul_a,4,7,550.6494299316406
en_50m,en_bul_a,4,8,477.5107702636719
en_50m,en_bul_a,4,9,473.8907955932617
en_50m,en_bul_a,4,10,585.6027038574218
en_50m,en_bul_a,4,11,634.7252502441406
en_50m,en_bul_a,5,0,1282.305942993164
en_50m,en_bul_a,5,1,816.1561218261719
en_50m,en_bul_a,5,2,563.2884896850586
en_50m,en_bul_a,5,3,649.6909771728516
en_50m,en_bul_a,5,4,804.0696060180665
en_50m,en_bul_a,5,5,787.1024462890625
en_50m,en_bul_a,5,6,515.033568725586
en_50m,en_bul_a,5,7,600.0445257568359
en_50m,en_bul_a,5,8,496.16260833740233
en_50m,en_bul_a,5,9,529.3516345214844
en_50m,en_bul_a,5,10,631.0743978881836
en_50m,en_bul_a,5,11,696.0869323730469
en_50m,en_bul_a,6,0,1390.6274383544921
en_50m,en_bul_a,6,1,821.7013507080078
en_50m,en_bul_a,6,2,564.7336898803711
en_50m,en_bul_a,6,3,644.3897253417969
en_50m,en_bul_a,6,4,802.3907815551757
en_50m,en_bul_a,6,5,781.8235452270508
en_50m,en_bul_a,6,6,527.8231921386719
en_50m,en_bul_a,6,7,602.8362884521484
en_50m,en_bul_a,6,8,484.1605987548828
en_50m,en_bul_a,6,9,497.39735290527346
en_50m,en_bul_a,6,10,629.8513674926758
en_50m,en_bul_a,6,11,678.4904608154297
en_50m,en_deu_a,4,0,761.7012979125976
en_50m,en_deu_a,4,1,734.0989776611328
en_50m,en_deu_a,4,2,523.9482263183594
en_50m,en_deu_a,4,3,433.71552642822263
en_50m,en_deu_a,4,4,792.0613293457031
en_50m,en_deu_a,4,5,582.0595635986328
en_50m,en_deu_a,4,6,396.9570553588867
en_50m,en_deu_a,4,7,530.3714184570313
en_50m,en_deu_a,4,8,713.8350073242187
en_50m,en_deu_a,4,9,431.7503036499023
en_50m,en_deu_a,4,10,440.5811468505859
en_50m,en_deu_a,4,11,866.0906945800781
en_50m,en_deu_a,5,0,766.6367126464844
en_50m,en_deu_a,5,1,752.3337438964844
en_50m,en_deu_a,5,2,522.3101055908203
en_50m,en_deu_a,5,3,447.08511016845705
en_50m,en_deu_a,5,4,817.9171704101562
en_50m,en_deu_a,5,5,613.6920092773438
en_50m,en_deu_a,5,6,401.7819259643555
en_50m,en_deu_a,5,7,547.2047637939453
en_50m,en_deu_a,5,8,741.2512567138672
en_50m,en_deu_a,5,9,448.64634796142576
en_50m,en_deu_a,5,10,455.66675262451173
en_50m,en_deu_a,5,11,928.8018896484375
en_50m,en_deu_a,6,0,764.0928015136719
en_50m,en_deu_a,6,1,754.9039587402344
en_50m,en_deu_a,6,2,524.5999481201172
en_50m,en_deu_a,6,3,465.50570404052735
en_50m,en_deu_a,6,4,854.7812048339844
en_50m,en_deu_a,6,5,648.0710043334961
en_50m,en_deu_a,6,6,413.4347180175781
en_50m,en_deu_a,6,7,553.9929406738281
en_50m,en_deu_a,6,8,765.782504272461
en_50m,en_deu_a,6,9,462.6111444091797
en_50m,en_deu_a,6,10,482.54997619628904
en_50m,en_deu_a,6,11,993.2554736328125
en_50m,en_fas_a,4,0,686.4689465332032
en_50m,en_fas_a,4,1,786.0565026855469
en_50m,en_fas_a,4,2,460.54552307128904
en_50m,en_fas_a,4,3,507.7029913330078
en_50m,en_fas_a,4,4,466.3369088745117
en_50m,en_fas_a,4,5,391.19586303710935
en_50m,en_fas_a,4,6,393.9139370727539
en_50m,en_fas_a,4,7,1412.1357135009766
en_50m,en_fas_a,4,8,424.63624084472656
en_50m,en_fas_a,4,9,1559.256787109375
en_50m,en_fas_a,4,10,647.2628393554687
en_50m,en_fas_a,4,11,1043.1016729736327
en_50m,en_fas_a,5,0,661.5568603515625
en_50m,en_fas_a,5,1,790.9724322509766
en_50m,en_fas_a,5,2,457.37820220947265
en_50m,en_fas_a,5,3,500.51478271484376
en_50m,en_fas_a,5,4,459.62669189453123
en_50m,en_fas_a,5,5,391.00805725097655
