repr_type,pair,metric,category,n_items,mean,std
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,clothing_appearance,100,0.6494584185113713,0.2671698371519024
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,daily_customs,101,0.49912363735119003,0.29454968579463364
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,family_kinship,101,0.6299658486689824,0.2519763365253842
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,festivals_holidays,100,0.6375643424696542,0.22033495212791288
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,food_cuisine,100,0.7100484034668922,0.354056680052237
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,governance_law,100,0.6691652564064279,0.2252343376854234
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,religion_ritual,101,0.6487404894234334,0.2799900544099769
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,social_identity,99,0.4777060525885148,0.343904669064749
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,symbols_colors,97,0.6331235154330376,0.24943018556083935
embedding_matrix,en_100m__vs__en_bul_a,jaccard_divergence,values_norms,101,0.7033402381125154,0.2239758179891256
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,clothing_appearance,100,0.6628113045904143,0.27163169119648733
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,daily_customs,101,0.5082561055198006,0.2994923720819867
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,family_kinship,101,0.6518725155697535,0.2473631523975745
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,festivals_holidays,100,0.677921578109925,0.19967461759449728
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,food_cuisine,100,0.7314266994936781,0.3544310357405519
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,governance_law,100,0.6666174050430549,0.2269556745969196
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,religion_ritual,101,0.6448154613464537,0.28628937738787374
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,social_identity,99,0.4852253688212919,0.33793809760139143
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,symbols_colors,97,0.6499251039648445,0.2445447358602011
embedding_matrix,en_100m__vs__en_bul_b,jaccard_divergence,values_norms,101,0.7223010550667305,0.22051570996254863
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,clothing_appearance,100,0.6749571901524334,0.2543596744950467
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,daily_customs,101,0.5168332598742041,0.29006879837590477
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,family_kinship,101,0.6464260611629982,0.25604257077374276
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,festivals_holidays,100,0.6877803661059895,0.20892724011608305
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,food_cuisine,100,0.7269813587529589,0.3700015444821325
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,governance_law,100,0.6695711855089743,0.22255992478630257
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,religion_ritual,101,0.6636560481936388,0.27959230457071815
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,social_identity,99,0.477650443344562,0.3358286871743609
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,symbols_colors,97,0.6461926211613098,0.24408505845138764
embedding_matrix,en_100m__vs__en_deu_a,jaccard_divergence,values_norms,101,0.7050787442098567,0.22682815459680244
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,clothing_appearance,100,0.6858278337067673,0.24727169248883576
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,daily_customs,101,0.5050980977649329,0.2991420590250222
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,family_kinship,101,0.6545406912837094,0.24322840337349205
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,festivals_holidays,100,0.6550140114025433,0.22468220242496828
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,food_cuisine,100,0.7282564749863225,0.3619517228738651
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,governance_law,100,0.6482961539258244,0.2369799870440381
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,religion_ritual,101,0.6590358017765029,0.2810637326969606
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,social_identity,99,0.4813765205973071,0.3388974116689764
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,symbols_colors,97,0.6305061381752571,0.24479059796811908
embedding_matrix,en_100m__vs__en_deu_b,jaccard_divergence,values_norms,101,0.7120772691436624,0.23031400294986695
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,clothing_appearance,100,0.6909472320525771,0.25401778993661467
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,daily_customs,101,0.5412346805821914,0.2919196137903986
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,family_kinship,101,0.6722642552029163,0.24865470661593012
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,festivals_holidays,100,0.7443967422912339,0.1733671231909623
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,food_cuisine,100,0.7584619723116309,0.33297498945563175
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,governance_law,100,0.6792133789394783,0.23594761407546172
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,religion_ritual,101,0.6831412209477032,0.26721206554061017
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,social_identity,99,0.5017194776911674,0.33656418103562263
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,symbols_colors,97,0.6985619995430972,0.2321537337238056
embedding_matrix,en_100m__vs__en_fas_a,jaccard_divergence,values_norms,101,0.7337755169743151,0.22073199945355665
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,clothing_appearance,100,0.6873048688204983,0.24793247529689563
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,daily_customs,101,0.5159801451665333,0.2997766821177167
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,family_kinship,101,0.6602047144955503,0.25293336514446557
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,festivals_holidays,100,0.6864182307365577,0.20856589328730704
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,food_cuisine,100,0.7430102886097365,0.34380906482887463
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,governance_law,100,0.6839658214193602,0.22354680410331118
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,religion_ritual,101,0.6660185693569113,0.2677160903169897
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,social_identity,99,0.48521821626316014,0.3406562460717513
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,symbols_colors,97,0.6572888898826167,0.24787370280728752
embedding_matrix,en_100m__vs__en_fas_b,jaccard_divergence,values_norms,101,0.7416382655772524,0.21171455170288808
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,clothing_appearance,100,0.6461355852534456,0.28130922027974886
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,daily_customs,101,0.5004470288432894,0.2932081128650547
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,family_kinship,101,0.6278140124149642,0.2582244833162376
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,festivals_holidays,100,0.661516976957165,0.2192256398775933
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,food_cuisine,100,0.7097554139632879,0.3650801300420447
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,governance_law,100,0.6423181396092059,0.23946100180729546
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,religion_ritual,101,0.6521823560704031,0.2799820135171224
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,social_identity,99,0.4622535651550942,0.34920170346541346
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,symbols_colors,97,0.6349824000077462,0.24797780430144203
embedding_matrix,en_100m__vs__en_fr_a,jaccard_divergence,values_norms,101,0.6913663872214622,0.23988536142564604
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,clothing_appearance,100,0.6542341751286433,0.26949331099478263
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,daily_customs,101,0.488000538193243,0.3006987241395439
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,family_kinship,101,0.631353716635178,0.25280816471828466
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,festivals_holidays,100,0.6539313332810073,0.23070038112200295
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,food_cuisine,100,0.712993825841637,0.3744250088419505
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,governance_law,100,0.6646015321837541,0.21758587315931793
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,religion_ritual,101,0.6534377443344532,0.27220309321609987
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,social_identity,99,0.46893323811541726,0.343586882729164
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,symbols_colors,97,0.6250768269701418,0.24206081182676523
embedding_matrix,en_100m__vs__en_fr_b,jaccard_divergence,values_norms,101,0.7004473375638092,0.23774542532063886
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,clothing_appearance,100,0.6800638995467057,0.2529991570307924
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,daily_customs,101,0.49142919490183906,0.3045377939259025
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,family_kinship,101,0.6439054306212061,0.2432838140343553
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,festivals_holidays,100,0.6708048161175852,0.2226563166505589
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,food_cuisine,100,0.7355947058828204,0.3522544561604822
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,governance_law,100,0.6422164866528922,0.24238080225452202
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,religion_ritual,101,0.6607034211656104,0.27783376834608753
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,social_identity,99,0.4931385824151907,0.3304685182472053
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,symbols_colors,97,0.6389125063634298,0.24975836376440547
embedding_matrix,en_100m__vs__en_ind_a,jaccard_divergence,values_norms,101,0.6819433457903984,0.2517902581137066
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,clothing_appearance,100,0.6684986909828402,0.26436727917465375
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,daily_customs,101,0.4905052318213142,0.2960931993609178
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,family_kinship,101,0.6238593929029513,0.26918204378242194
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,festivals_holidays,100,0.6804688076452591,0.2175897511162696
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,food_cuisine,100,0.7134437333389603,0.3701193934238654
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,governance_law,100,0.6228100039990404,0.2553263596476609
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,religion_ritual,101,0.6485549041788411,0.2830878666895666
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,social_identity,99,0.4743200428782823,0.34170880647355195
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,symbols_colors,97,0.6190253566844344,0.25646460360931955
embedding_matrix,en_100m__vs__en_ind_b,jaccard_divergence,values_norms,101,0.6921092002012964,0.24276482602405838
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,clothing_appearance,100,0.6695819691844932,0.26853502592328193
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,daily_customs,101,0.5069944668035843,0.29128501618442976
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,family_kinship,101,0.6434025043053445,0.25920529482810173
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,festivals_holidays,100,0.687793262380145,0.2024784481775923
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,food_cuisine,100,0.7317645463774585,0.34680219923943156
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,governance_law,100,0.6565111569799708,0.2278581295396734
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,religion_ritual,101,0.6515584052416881,0.2859678937831511
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,social_identity,99,0.48491263901565473,0.3383964577021549
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,symbols_colors,97,0.6226225107488241,0.2581118703991777
embedding_matrix,en_100m__vs__en_nld_a,jaccard_divergence,values_norms,101,0.6968022751037461,0.23620855581401862
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,clothing_appearance,100,0.6576572003050681,0.281222754953189
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,daily_customs,101,0.486156718603126,0.29473402658760023
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,family_kinship,101,0.627416416891235,0.2585819251766515
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,festivals_holidays,100,0.658612014053152,0.23284335535774536
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,food_cuisine,100,0.7028893277004095,0.3780395275159952
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,governance_law,100,0.6505193887898142,0.22988315904614953
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,religion_ritual,101,0.6430217895581022,0.281399534867583
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,social_identity,99,0.473556312224788,0.3427054314161367
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,symbols_colors,97,0.6160443943313418,0.24743516562164364
embedding_matrix,en_100m__vs__en_nld_b,jaccard_divergence,values_norms,101,0.6954668879627177,0.2395526287715845
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,clothing_appearance,100,0.6814766273189917,0.24996133635281192
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,daily_customs,101,0.5278930502548161,0.3081745063687032
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,family_kinship,101,0.6650994834472485,0.25334696294559517
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,festivals_holidays,100,0.7218852115375504,0.1756980190154963
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,food_cuisine,100,0.7454395329708273,0.3418029060527547
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,governance_law,100,0.6786159065436271,0.2229928141655249
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,religion_ritual,101,0.6897166742861607,0.26996199664003456
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,social_identity,99,0.51411927763904,0.3234149239597229
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,symbols_colors,97,0.6949258569987118,0.22574256657692005
embedding_matrix,en_100m__vs__en_ukr_a,jaccard_divergence,values_norms,101,0.7425627043895524,0.21001981732815744
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,clothing_appearance,100,0.6702316239066896,0.25262873579408923
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,daily_customs,101,0.5034505444440079,0.30447759430202703
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,family_kinship,101,0.6360059892163509,0.263195666843714
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,festivals_holidays,100,0.6787400213719071,0.19198753010300917
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,food_cuisine,100,0.7166652055777111,0.3547188490149253
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,governance_law,100,0.6447657817366793,0.2414763070271646
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,religion_ritual,101,0.655868015948611,0.272564066462542
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,social_identity,99,0.48785349540516504,0.3289052263220632
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,symbols_colors,97,0.6446169811783344,0.2345989682395844
embedding_matrix,en_100m__vs__en_ukr_b,jaccard_divergence,values_norms,101,0.7079801582301953,0.24251439732835833
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,clothing_appearance,100,0.6888858933174737,0.25524364529596294
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,daily_customs,101,0.5643298569374992,0.2953323755345724
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,family_kinship,101,0.6883346510512541,0.2358026675912921
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,festivals_holidays,100,0.7261278439538811,0.1840945398169501
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,food_cuisine,100,0.7644654161147362,0.3245077616300771
embedding_matrix,en_100m__vs__en_zh_a,jaccard_divergence,governance_law,100,0.6839467222790333,0.2211139397615492
