model_name,tokenizer_class,model_max_length,padding_side,bos_token,eos_token,unk_token,pad_token,vocab_size,tokenizer.json_sha256,tokenizer_config.json_sha256,special_tokens_map.json_sha256,tokenizer.model_sha256,vocab.json_sha256,merges.txt_sha256
bul_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
bul_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
deu_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
deu_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_100m_s1,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_100m_s2,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_100m_s3,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_50m_s1,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_50m_s2,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_50m_s3,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_bul_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_bul_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
