repr_type,baseline,family,quality_tier,n_words,mean_delta_jaccard,median_delta_jaccard,wilcoxon_stat,p_value
embedding_matrix,en_50m,en_bul,all,1000,-0.01669994903577544,0.0,95172.5,5.392686273229287e-09
embedding_matrix,en_50m,en_bul,high,717,-0.019873327235529762,0.0,41396.0,5.036717815552413e-10
embedding_matrix,en_50m,en_bul,medium,192,-0.0066924233707537735,0.0,4907.0,0.37035318000743134
embedding_matrix,en_50m,en_bul,low,91,-0.012811298029844827,0.0,1213.5,0.4513044979401224
embedding_matrix,en_50m,en_deu,all,1000,-0.006274220657019855,0.0,105511.0,0.01774524890479184
embedding_matrix,en_50m,en_deu,high,666,-0.007810318295151809,0.0,44458.5,0.010209596120639259
embedding_matrix,en_50m,en_deu,medium,242,-0.0007421819058564713,0.0,6756.5,0.9888638803652563
embedding_matrix,en_50m,en_deu,low,92,-0.009705876643820468,0.0,1019.0,0.34665368947356257
embedding_matrix,en_50m,en_fas,all,1000,0.0136083560197394,0.0,100271.0,1.5982767769061413e-06
embedding_matrix,en_50m,en_fas,high,696,0.01256719225085996,0.0,49015.0,0.00022901813611289555
embedding_matrix,en_50m,en_fas,medium,249,0.01759213384363816,0.0,5912.5,0.0028588830817181123
embedding_matrix,en_50m,en_fas,low,55,0.008748161564999371,0.0,359.0,0.35410370578826866
embedding_matrix,en_50m,en_fr,all,1000,-0.005620799101845062,0.0,94878.5,0.03137825200927746
embedding_matrix,en_50m,en_fr,high,658,-0.008275433244431791,0.0,40385.5,0.01401784333933371
embedding_matrix,en_50m,en_fr,medium,227,0.0034512773278117075,0.0,4837.0,0.8384435278652598
embedding_matrix,en_50m,en_fr,low,115,-0.008339165047149578,0.0,1312.0,0.4342505566230065
embedding_matrix,en_50m,en_ind,all,1000,0.007149461911788961,0.0,97650.0,0.0005058476375206729
embedding_matrix,en_50m,en_ind,high,599,0.010857238487892294,0.0,33479.5,0.00017935650968822937
embedding_matrix,en_50m,en_ind,medium,262,0.0017907966099182384,0.0,7308.5,0.4053313869671622
embedding_matrix,en_50m,en_ind,low,139,0.0012718514082223117,0.0,1961.5,0.7292623510215872
embedding_matrix,en_50m,en_nld,all,1000,0.004059746673576332,0.0,105109.5,0.06698407675205552
embedding_matrix,en_50m,en_nld,high,583,0.002651170042840984,0.0,38499.5,0.3903910400078586
embedding_matrix,en_50m,en_nld,medium,270,0.005431059567456916,0.0,6575.5,0.11908712883985076
embedding_matrix,en_50m,en_nld,low,147,0.007127404458412737,0.0,2172.0,0.22479345295801034
embedding_matrix,en_50m,en_ukr,all,1000,0.022716817455775924,0.0,88239.5,4.891060431094383e-15
embedding_matrix,en_50m,en_ukr,high,695,0.024534605860136838,0.0,38283.0,2.658895645466563e-13
embedding_matrix,en_50m,en_ukr,medium,210,0.017743400947735653,0.0,4789.0,0.002435365851668322
embedding_matrix,en_50m,en_ukr,low,95,0.020412128252171917,0.0,1025.0,0.2029727259650601
embedding_matrix,en_50m,en_zh,all,1000,-0.0002505628336125989,0.0,118423.5,0.9870713902797016
embedding_matrix,en_50m,en_zh,high,529,-0.00020400381363538294,0.0,31202.5,0.9841962590720817
embedding_matrix,en_50m,en_zh,medium,312,-0.0015231314755400314,0.0,12200.5,0.9455388473041557
embedding_matrix,en_50m,en_zh,low,159,0.0020916490828239583,0.0,3272.0,0.9875918776974847
embedding_matrix,en_100m,en_bul,all,1000,-0.014281790351511153,0.0,99973.0,2.9806282593748483e-07
embedding_matrix,en_100m,en_bul,high,717,-0.014523762024477097,0.0,50101.0,4.5572965927943194e-06
embedding_matrix,en_100m,en_bul,medium,192,-0.011381440477372046,0.0,4052.0,0.08736153298132744
embedding_matrix,en_100m,en_bul,low,91,-0.01849468580555652,0.0,813.0,0.06165333162872278
embedding_matrix,en_100m,en_deu,all,1000,0.005467737452176126,0.0,106833.5,0.004487675033581232
embedding_matrix,en_100m,en_deu,high,666,0.0068510953146714345,0.0,43954.0,0.005977110681350852
embedding_matrix,en_100m,en_deu,medium,242,0.00842573100778308,0.0,6677.5,0.07898677134880724
embedding_matrix,en_100m,en_deu,low,92,-0.012327379687810398,0.0,984.5,0.33424012137780457
embedding_matrix,en_100m,en_fas,all,1000,0.017573100009514814,0.0,89608.5,3.3159923355748384e-10
embedding_matrix,en_100m,en_fas,high,696,0.01679709599524921,0.0,42144.5,1.5293448790390415e-07
embedding_matrix,en_100m,en_fas,medium,249,0.02187488153751336,0.0,5412.5,0.000652426433497397
embedding_matrix,en_100m,en_fas,low,55,0.007917739890555187,0.0,434.0,0.3458736867785812
embedding_matrix,en_100m,en_fr,all,1000,-0.0024483068734510757,0.0,101845.5,0.37396163943970995
embedding_matrix,en_100m,en_fr,high,658,-0.005175550417473062,0.0,42532.0,0.1205983291365146
embedding_matrix,en_100m,en_fr,medium,227,0.008145352178553491,0.0,4731.5,0.13459981589792133
embedding_matrix,en_100m,en_fr,low,115,-0.00775469255030821,0.0,1129.0,0.2990951019097847
embedding_matrix,en_100m,en_ind,all,1000,0.010456175157246577,0.0,89741.0,6.181238751480762e-06
embedding_matrix,en_100m,en_ind,high,599,0.01021183626172802,0.0,32316.5,0.00033725855656625354
