k,representation,seed_mean,bilingual_mean,bilingual_median,centered_mean,centered_median,centered_min,centered_max,n_bilingual_pairs,n_seed_pairs
5,Contextual,0.8073743386243386,0.8268343253968254,0.8222321428571429,0.019459986772486844,0.01485780423280425,0.005994708994709108,0.03715343915343927,16,6
5,Embedding,0.5676441798941799,0.590453125,0.5856289682539683,0.022808945105820058,0.01798478835978834,0.0030661375661374946,0.048486772486772356,16,6
10,Contextual,0.7962625234529259,0.8088099762294809,0.8021190038461711,0.012547452776554995,0.005856480393245156,-0.004398320318598881,0.04144476994167401,16,6
10,Embedding,0.6458522432160203,0.6680903933742557,0.6632653613156709,0.022238150158235305,0.017413118099650626,0.00023066561921059048,0.048316837617147224,16,6
25,Contextual,0.7718799779728737,0.7872637974468546,0.7851190825147623,0.01538381947398089,0.013239104541888536,-0.008268402730913116,0.050832075433804635,16,6
25,Embedding,0.6128667040214264,0.6421683526833781,0.6357505536477057,0.029301648661951653,0.022883849626279373,0.008397713338345492,0.06084429887809972,16,6
50,Contextual,0.7806772859402423,0.8040355547089597,0.8039225100882407,0.023358268768717265,0.023245224147998345,0.0016659320143378453,0.056304629307297294,16,6
50,Embedding,0.6099148492256469,0.652729584510425,0.6517363577414308,0.04281473528477805,0.04182150851578392,0.01734708070793267,0.06993851560323627,16,6
100,Contextual,0.7783549597808795,0.8030875851515303,0.8028682032617667,0.024732625370650782,0.024513243480887126,0.0028962064682275246,0.05766740615122068,16,6
100,Embedding,0.7787064321716516,0.8027269333687179,0.8001817782703726,0.024020501197066307,0.021475346098721093,0.007771366490956999,0.04787438093874452,16,6
