repr_type,model_a,model_b,metric,mean,ci_low,ci_high
embedding_matrix,ind_50m,en_ind_a,jaccard_at_k_mean,0.6647872961604022,0.6462616463231144,0.6821614949970605
embedding_matrix,ind_50m,en_ind_a,axis_abs_projection_diff_mean,0.11892119875296946,0.11402139925211664,0.12379833868518467
embedding_matrix,ind_50m,en_ind_a,frobenius_cultural_similarity,0.11930387750244141,0.11653489170074463,0.12241593742370604
embedding_matrix,ind_50m,en_ind_b,jaccard_at_k_mean,0.6633964242301579,0.6443325953380499,0.6820993075128002
embedding_matrix,ind_50m,en_ind_b,axis_abs_projection_diff_mean,0.10808668754711744,0.10311876763403412,0.11292775150761004
embedding_matrix,ind_50m,en_ind_b,frobenius_cultural_similarity,0.11242938146591186,0.1094117660522461,0.11548156509399414
embedding_matrix,ind_100m,en_ind_a,jaccard_at_k_mean,0.6785267078432858,0.6606357182185897,0.6961699668483501
embedding_matrix,ind_100m,en_ind_a,axis_abs_projection_diff_mean,0.12280851438611742,0.1177001635432243,0.1279279677085578
embedding_matrix,ind_100m,en_ind_a,frobenius_cultural_similarity,0.11938674853515624,0.11657811470031738,0.12232788867950439
embedding_matrix,ind_100m,en_ind_b,jaccard_at_k_mean,0.6770690029310531,0.6586656374332374,0.6949315137894454
embedding_matrix,ind_100m,en_ind_b,axis_abs_projection_diff_mean,0.11213470969654617,0.1070843225829303,0.11702039485797282
embedding_matrix,ind_100m,en_ind_b,frobenius_cultural_similarity,0.11339858901214599,0.1103774923324585,0.11654775695800781
pre_lmhead_contextual,ind_50m,en_ind_a,jaccard_at_k_mean,0.8569097826197823,0.846732604252433,0.8668846117348832
pre_lmhead_contextual,ind_50m,en_ind_a,axis_abs_projection_diff_mean,4.019052084255219,3.3737244048118593,4.689968411266804
pre_lmhead_contextual,ind_50m,en_ind_a,frobenius_cultural_similarity,0.23797197465515138,0.22439248085021973,0.2514007953643799
pre_lmhead_contextual,ind_50m,en_ind_b,jaccard_at_k_mean,0.8488842897549925,0.838528071594628,0.858767387275652
pre_lmhead_contextual,ind_50m,en_ind_b,axis_abs_projection_diff_mean,4.211418712580204,3.492737722337246,4.982157677948473
pre_lmhead_contextual,ind_50m,en_ind_b,frobenius_cultural_similarity,0.17265420166015624,0.15833134078979494,0.18875188941955565
pre_lmhead_contextual,ind_100m,en_ind_a,jaccard_at_k_mean,0.8489934843291537,0.8387060818601416,0.8594732647026114
pre_lmhead_contextual,ind_100m,en_ind_a,axis_abs_projection_diff_mean,3.373880052018166,2.879702728569508,3.9339226341843605
pre_lmhead_contextual,ind_100m,en_ind_a,frobenius_cultural_similarity,0.2540641883087158,0.24300178871154784,0.2645506660461426
pre_lmhead_contextual,ind_100m,en_ind_b,jaccard_at_k_mean,0.8383295920365449,0.8275545105198875,0.8488613546968494
pre_lmhead_contextual,ind_100m,en_ind_b,axis_abs_projection_diff_mean,3.4668698941540717,3.003686505019665,4.0103784489631655
pre_lmhead_contextual,ind_100m,en_ind_b,frobenius_cultural_similarity,0.17067670517730713,0.1619103946685791,0.17974011726379396
contextual_over_embedding,ind_50m,en_ind_a,axis_ratio_contextual_over_embedding,33.964612697545626,28.407663457536085,39.683349434659284
contextual_over_embedding,ind_50m,en_ind_b,axis_ratio_contextual_over_embedding,38.94192009393446,32.4831195979707,46.62459131646309
contextual_over_embedding,ind_100m,en_ind_a,axis_ratio_contextual_over_embedding,27.46018422330296,23.274138001217825,32.06391993590006
contextual_over_embedding,ind_100m,en_ind_b,axis_ratio_contextual_over_embedding,30.882941971641166,26.68051375123164,36.33432240322942
