repr_type,model_a,model_b,metric,mean,ci_low,ci_high
embedding_matrix,nld_50m,en_nld_a,jaccard_at_k_mean,0.6550816364184417,0.6364645963914484,0.6722506224913316
embedding_matrix,nld_50m,en_nld_a,axis_abs_projection_diff_mean,0.12430993111543355,0.11877771496400234,0.13011687969043848
embedding_matrix,nld_50m,en_nld_a,frobenius_cultural_similarity,0.12015618936920165,0.11731787338256837,0.1231593385696411
embedding_matrix,nld_50m,en_nld_b,jaccard_at_k_mean,0.6436580078545939,0.624278914281197,0.6629413562426776
embedding_matrix,nld_50m,en_nld_b,axis_abs_projection_diff_mean,0.11308336858086283,0.10782564454153176,0.11828096995502707
embedding_matrix,nld_50m,en_nld_b,frobenius_cultural_similarity,0.10660378294372558,0.10389765968322755,0.10936549339294434
embedding_matrix,nld_100m,en_nld_a,jaccard_at_k_mean,0.6677673154558073,0.6500423807760799,0.685111199705596
embedding_matrix,nld_100m,en_nld_a,axis_abs_projection_diff_mean,0.12742136400610204,0.12224130846559997,0.13268745024129747
embedding_matrix,nld_100m,en_nld_a,frobenius_cultural_similarity,0.12178281171798706,0.11903898391723633,0.12447982158660889
embedding_matrix,nld_100m,en_nld_b,jaccard_at_k_mean,0.6572383562855275,0.6383130306235587,0.6756032210043451
embedding_matrix,nld_100m,en_nld_b,axis_abs_projection_diff_mean,0.11646753256358203,0.1112297735996544,0.12168818235024806
embedding_matrix,nld_100m,en_nld_b,frobenius_cultural_similarity,0.10887891719436646,0.10618224277496337,0.11163548679351806
pre_lmhead_contextual,nld_50m,en_nld_a,jaccard_at_k_mean,0.8356614796105746,0.8238152966676401,0.8470542156824175
pre_lmhead_contextual,nld_50m,en_nld_a,axis_abs_projection_diff_mean,2.9868027009189126,2.5796914331912997,3.4246121767759323
pre_lmhead_contextual,nld_50m,en_nld_a,frobenius_cultural_similarity,0.20591421668243406,0.19607589569091796,0.2157705131530762
pre_lmhead_contextual,nld_50m,en_nld_b,jaccard_at_k_mean,0.8180938791533182,0.8047634456457213,0.8307475820224368
pre_lmhead_contextual,nld_50m,en_nld_b,axis_abs_projection_diff_mean,3.2477184681904316,2.815105771303177,3.7066290384531015
pre_lmhead_contextual,nld_50m,en_nld_b,frobenius_cultural_similarity,0.18726298943328856,0.17649638404846194,0.19870526771545408
pre_lmhead_contextual,nld_100m,en_nld_a,jaccard_at_k_mean,0.8499878538350161,0.8399570483707003,0.8601667861896806
pre_lmhead_contextual,nld_100m,en_nld_a,axis_abs_projection_diff_mean,3.212110143802166,2.8342262785434724,3.6261970045566554
pre_lmhead_contextual,nld_100m,en_nld_a,frobenius_cultural_similarity,0.20819902409362792,0.19862275848388672,0.2179911808013916
pre_lmhead_contextual,nld_100m,en_nld_b,jaccard_at_k_mean,0.8337329205132891,0.8218496057779959,0.8451266148322042
pre_lmhead_contextual,nld_100m,en_nld_b,axis_abs_projection_diff_mean,3.6164262655067443,3.217220850944519,4.039746166467666
pre_lmhead_contextual,nld_100m,en_nld_b,frobenius_cultural_similarity,0.18799932543182374,0.17714987907409668,0.1981333053588867
contextual_over_embedding,nld_50m,en_nld_a,axis_ratio_contextual_over_embedding,24.1254728358995,20.63888000516822,27.7307848332898
contextual_over_embedding,nld_50m,en_nld_b,axis_ratio_contextual_over_embedding,28.700164927094708,24.812296510656996,33.23841431574649
contextual_over_embedding,nld_100m,en_nld_a,axis_ratio_contextual_over_embedding,25.194736851361974,22.009415752296917,28.607942632580702
contextual_over_embedding,nld_100m,en_nld_b,axis_ratio_contextual_over_embedding,31.01266369603692,27.470021169734935,34.998053166110026
