model,country,n_items,n_questions,accuracy,mean_abs_error_norm,mean_expected_abs_error_norm,overall_emd_hard,overall_emd_expected
en_100m,China,131,33,0.19083969465648856,0.44359626802374885,0.28556718917588203,0.43977947413061924,0.2836595919532798
en_100m,Germany,82,35,0.21951219512195122,0.47865853658536583,0.3313286044156706,0.47865853658536583,0.3306094292005634
en_100m,Indonesia,150,36,0.22666666666666666,0.525,0.36962198509640026,0.5205555555555557,0.36865375395200334
en_100m,Iran,54,31,0.2222222222222222,0.4778806584362139,0.31624628075613176,0.477880658436214,0.3157368163009893
en_100m,Netherlands,92,33,0.2608695652173913,0.4435386473429952,0.3288150748816399,0.4435386473429952,0.3279622065041216
en_100m,Ukraine,55,29,0.3090909090909091,0.43282828282828273,0.32438648465609454,0.4328282828282828,0.32285825722435385
en_50m,China,131,33,0.1984732824427481,0.4397794741306191,0.2857118865058876,0.43977947413061924,0.28405227928036025
en_50m,Germany,82,35,0.21951219512195122,0.47865853658536583,0.3334762406218186,0.47865853658536583,0.33278167332689285
en_50m,Indonesia,150,36,0.24666666666666667,0.5105555555555557,0.36350782857240127,0.5105555555555557,0.36255079605764146
en_50m,Iran,54,31,0.2222222222222222,0.4778806584362139,0.3093712249602069,0.477880658436214,0.30891179138620245
en_50m,Netherlands,92,33,0.2608695652173913,0.4435386473429952,0.3271046083509658,0.4435386473429952,0.3259676815925412
en_50m,Ukraine,55,29,0.3090909090909091,0.43282828282828273,0.32397947411174277,0.4328282828282828,0.3238022611488284
en_bul_a,China,131,33,0.17557251908396945,0.41815097540288376,0.2845130423230627,0.38252756573367264,0.28312039127970295
en_bul_a,Germany,82,35,0.18292682926829268,0.4600271002710027,0.3335027066724449,0.4078590785907859,0.3319683299941216
en_bul_a,Indonesia,150,36,0.22,0.47740740740740745,0.3618118487954817,0.46111111111111114,0.36043958848447105
en_bul_a,Iran,54,31,0.2037037037037037,0.4840534979423867,0.31016827619589077,0.48405349794238683,0.30935075612782037
en_bul_a,Netherlands,92,33,0.2391304347826087,0.42028985507246375,0.32850544607919063,0.393719806763285,0.3272085549330668
en_bul_a,Ukraine,55,29,0.2545454545454545,0.45909090909090905,0.3220986961267673,0.4590909090909091,0.32199217463302526
en_deu_a,China,131,33,0.1984732824427481,0.4397794741306191,0.28220631560921333,0.43977947413061924,0.2812371830652685
en_deu_a,Germany,82,35,0.21951219512195122,0.47865853658536583,0.3300068879790426,0.47865853658536583,0.3290563524854525
en_deu_a,Indonesia,150,36,0.24666666666666667,0.5105555555555557,0.36598462128464815,0.5105555555555557,0.36513073543472446
en_deu_a,Iran,54,31,0.2222222222222222,0.4778806584362139,0.3085320476478351,0.477880658436214,0.30834225894495454
en_deu_a,Netherlands,92,33,0.2608695652173913,0.4435386473429952,0.32509624054897673,0.4435386473429952,0.3242095867559532
en_deu_a,Ukraine,55,29,0.3090909090909091,0.43282828282828273,0.323533964523072,0.4328282828282828,0.3234880895133661
en_fas_a,China,131,33,0.1984732824427481,0.4397794741306191,0.28518432134559063,0.43977947413061924,0.2842730098718812
en_fas_a,Germany,82,35,0.21951219512195122,0.47865853658536583,0.3313114121338103,0.47865853658536583,0.33074257380711686
en_fas_a,Indonesia,150,36,0.24666666666666667,0.5105555555555557,0.36551495794686206,0.5105555555555557,0.36434499040828505
en_fas_a,Iran,54,31,0.2222222222222222,0.4778806584362139,0.3072366731606184,0.477880658436214,0.30664543050225745
en_fas_a,Netherlands,92,33,0.2608695652173913,0.4435386473429952,0.32763029678658523,0.4435386473429952,0.32691711930574935
en_fas_a,Ukraine,55,29,0.3090909090909091,0.43282828282828273,0.3225672465799925,0.4328282828282828,0.32224072553268884
en_fr_a,China,131,33,0.3893129770992366,0.27226463104325704,0.28438899095579256,0.27226463104325704,0.2830166567648484
en_fr_a,Germany,82,35,0.3048780487804878,0.34789972899728994,0.3315971297915467,0.34789972899728994,0.3309065164181829
en_fr_a,Indonesia,150,36,0.26,0.4011111111111111,0.3663940242418194,0.40111111111111114,0.3654704738028809
en_fr_a,Iran,54,31,0.2222222222222222,0.4202674897119341,0.3145595226203688,0.4202674897119341,0.3144158245688868
en_fr_a,Netherlands,92,33,0.31521739130434784,0.3297101449275362,0.32735110343642154,0.3297101449275362,0.3266534362743748
en_fr_a,Ukraine,55,29,0.2545454545454545,0.3737373737373737,0.3252067787921079,0.3737373737373737,0.32520677879210796
en_ind_a,China,131,33,0.40458015267175573,0.2748091603053435,0.2854625945291731,0.2731128074639525,0.2836750783728921
en_ind_a,Germany,82,35,0.3048780487804878,0.34789972899728994,0.33250563566422187,0.34789972899728994,0.33151387010960726
en_ind_a,Indonesia,150,36,0.2733333333333333,0.40259259259259256,0.365933976275415,0.40259259259259267,0.36479932244198254
en_ind_a,Iran,54,31,0.2222222222222222,0.4223251028806584,0.31553661686367335,0.4223251028806584,0.31471187612025514
en_ind_a,Netherlands,92,33,0.32608695652173914,0.3321256038647342,0.32898411740691946,0.3321256038647343,0.3273746284074266
en_ind_a,Ukraine,55,29,0.2909090909090909,0.36767676767676766,0.326812527307859,0.36767676767676766,0.32667072126363533
en_nld_a,China,131,33,0.1984732824427481,0.4397794741306191,0.2837029042374181,0.43977947413061924,0.2799841984594836
en_nld_a,Germany,82,35,0.21951219512195122,0.47865853658536583,0.32960126802158735,0.47865853658536583,0.3285910879626711
en_nld_a,Indonesia,150,36,0.24666666666666667,0.5105555555555557,0.3642081244788673,0.5105555555555557,0.36191511219978845
en_nld_a,Iran,54,31,0.2222222222222222,0.4778806584362139,0.3087731439165066,0.477880658436214,0.30658175609989474
en_nld_a,Netherlands,92,33,0.2608695652173913,0.4435386473429952,0.32506905534282926,0.4435386473429952,0.32261388157408466
en_nld_a,Ukraine,55,29,0.3090909090909091,0.43282828282828273,0.31856856547363216,0.4328282828282828,0.3174325595977825
en_ukr_a,China,131,33,0.22137404580152673,0.4321458863443595,0.28597489500977524,0.409245122985581,0.28423281959902613
en_ukr_a,Germany,82,35,0.23170731707317074,0.4725609756097561,0.3311281573771346,0.4725609756097561,0.3301030351364601
en_ukr_a,Indonesia,150,36,0.25333333333333335,0.5064814814814815,0.36789627937275354,0.49203703703703705,0.3668796291244118
en_ukr_a,Iran,54,31,0.2222222222222222,0.4963991769547324,0.31418709327464395,0.49639917695473246,0.31297520626540504
en_ukr_a,Netherlands,92,33,0.29347826086956524,0.436292270531401,0.3303021400740985,0.4145531400966184,0.3285898853866733
en_ukr_a,Ukraine,55,29,0.3090909090909091,0.42373737373737363,0.3265680483255052,0.4237373737373737,0.3260879744883913
en_zh_a,China,131,33,0.35877862595419846,0.28837998303647155,0.2877641027126985,0.2832909245122986,0.28577120162666353
en_zh_a,Germany,82,35,0.2682926829268293,0.3519647696476964,0.3311096369785136,0.2896341463414634,0.3303666117645439
en_zh_a,Indonesia,150,36,0.24,0.4396296296296296,0.36658999335011594,0.37962962962962965,0.36545183151281907
en_zh_a,Iran,54,31,0.24074074074074073,0.3991769547325103,0.31320663820287775,0.39917695473251025,0.31201568483704406
en_zh_a,Netherlands,92,33,0.33695652173913043,0.3203502415458937,0.3327674636654719,0.3179347826086956,0.3315756208006619
en_zh_a,Ukraine,55,29,0.38181818181818183,0.32828282828282823,0.3281243620926995,0.32828282828282823,0.32764746420954016
