probe,left_endpoint,right_endpoint,axis_index,category,case_source
virtue,individualism,collectivism,1,values_norms,probe_sets_category_match_v1
vice,individualism,collectivism,1,values_norms,probe_sets_category_match_v1
respect,individualism,collectivism,1,values_norms,probe_sets_category_match_v1
modesty,individualism,collectivism,1,values_norms,probe_sets_category_match_v1
virtue,hierarchy,equality,2,values_norms,probe_sets_category_match_v1
vice,hierarchy,equality,2,values_norms,probe_sets_category_match_v1
respect,hierarchy,equality,2,values_norms,probe_sets_category_match_v1
modesty,hierarchy,equality,2,values_norms,probe_sets_category_match_v1
virtue,duty,freedom,3,values_norms,probe_sets_category_match_v1
vice,duty,freedom,3,values_norms,probe_sets_category_match_v1
respect,duty,freedom,3,values_norms,probe_sets_category_match_v1
modesty,duty,freedom,3,values_norms,probe_sets_category_match_v1
virtue,honor,shame,4,values_norms,probe_sets_category_match_v1
vice,honor,shame,4,values_norms,probe_sets_category_match_v1
respect,honor,shame,4,values_norms,probe_sets_category_match_v1
modesty,honor,shame,4,values_norms,probe_sets_category_match_v1
virtue,obedience,autonomy,5,values_norms,probe_sets_category_match_v1
vice,obedience,autonomy,5,values_norms,probe_sets_category_match_v1
respect,obedience,autonomy,5,values_norms,probe_sets_category_match_v1
modesty,obedience,autonomy,5,values_norms,probe_sets_category_match_v1
virtue,tradition,modernity,6,values_norms,probe_sets_category_match_v1
vice,tradition,modernity,6,values_norms,probe_sets_category_match_v1
respect,tradition,modernity,6,values_norms,probe_sets_category_match_v1
modesty,tradition,modernity,6,values_norms,probe_sets_category_match_v1
virtue,restraint,indulgence,7,values_norms,probe_sets_category_match_v1
vice,restraint,indulgence,7,values_norms,probe_sets_category_match_v1
respect,restraint,indulgence,7,values_norms,probe_sets_category_match_v1
modesty,restraint,indulgence,7,values_norms,probe_sets_category_match_v1
virtue,conformity,dissent,8,values_norms,probe_sets_category_match_v1
vice,conformity,dissent,8,values_norms,probe_sets_category_match_v1
respect,conformity,dissent,8,values_norms,probe_sets_category_match_v1
modesty,conformity,dissent,8,values_norms,probe_sets_category_match_v1
virtue,solidarity,competition,9,values_norms,probe_sets_category_match_v1
vice,solidarity,competition,9,values_norms,probe_sets_category_match_v1
respect,solidarity,competition,9,values_norms,probe_sets_category_match_v1
modesty,solidarity,competition,9,values_norms,probe_sets_category_match_v1
virtue,certainty,ambiguity,10,values_norms,probe_sets_category_match_v1
vice,certainty,ambiguity,10,values_norms,probe_sets_category_match_v1
respect,certainty,ambiguity,10,values_norms,probe_sets_category_match_v1
modesty,certainty,ambiguity,10,values_norms,probe_sets_category_match_v1
family,mother,father,11,family_kinship,probe_sets_category_match_v1
kinship,mother,father,11,family_kinship,probe_sets_category_match_v1
parent,mother,father,11,family_kinship,probe_sets_category_match_v1
child,mother,father,11,family_kinship,probe_sets_category_match_v1
family,elder,youth,12,family_kinship,probe_sets_category_match_v1
kinship,elder,youth,12,family_kinship,probe_sets_category_match_v1
parent,elder,youth,12,family_kinship,probe_sets_category_match_v1
child,elder,youth,12,family_kinship,probe_sets_category_match_v1
family,kin,stranger,13,family_kinship,probe_sets_category_match_v1
kinship,kin,stranger,13,family_kinship,probe_sets_category_match_v1
