source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
individualism,ukr,ukr_Cyrl,індивідуалізм,Individualism,1.0,0.8670125007629395,high,0,0
collectivism,ukr,ukr_Cyrl,колективізм,collectivism,1.0,0.8716310262680054,high,0,0
hierarchy,ukr,ukr_Cyrl,ієрархія,the hierarchy,0.8181818181818182,0.8672161102294922,high,0,0
equality,ukr,ukr_Cyrl,рівність,equality,1.0,0.8588421940803528,high,0,0
authority,ukr,ukr_Cyrl,орган,organ,0.2857142857142857,0.7584211230278015,medium,1,0
autonomy,ukr,ukr_Cyrl,автономія,self-determination,0.3076923076923077,0.8604727387428284,high,1,0
obedience,ukr,ukr_Cyrl,слухняність,obedience,1.0,0.8545777797698975,high,0,0
duty,ukr,ukr_Cyrl,обов'язки,Responsibilities,0.1,0.8337095379829407,high,1,0
freedom,ukr,ukr_Cyrl,свобода,freedom,1.0,0.8449932336807251,high,0,0
honor,ukr,ukr_Cyrl,честь,honor,1.0,0.8379109501838684,high,0,0
shame,ukr,ukr_Cyrl,соромність,shyness,0.5,0.8512067198753357,high,1,0
virtue,ukr,ukr_Cyrl,добродечність,Virtue,1.0,0.8535109758377075,high,0,0
vice,ukr,ukr_Cyrl,порочность,wickedness,0.42857142857142855,0.8241556286811829,high,1,0
respect,ukr,ukr_Cyrl,повагу,respect,1.0,0.8117877244949341,high,0,0
modesty,ukr,ukr_Cyrl,скромність,modesty,1.0,0.8532031178474426,high,0,0
purity,ukr,ukr_Cyrl,чистість,Purity,1.0,0.861106276512146,high,0,0
pollution,ukr,ukr_Cyrl,забруднення,pollution,1.0,0.8416827917098999,high,0,0
face,ukr,ukr_Cyrl,обличчя,the face,0.6666666666666666,0.8174325227737427,high,0,0
reputation,ukr,ukr_Cyrl,репутація,reputation,1.0,0.8585723042488098,high,0,0
hospitality,ukr,ukr_Cyrl,гостинність,hospitality,1.0,0.8710228800773621,high,0,0
charity,ukr,ukr_Cyrl,благодійність,charity,1.0,0.8749040365219116,high,0,0
cooperation,ukr,ukr_Cyrl,співробітництво,cooperation,1.0,0.8520665168762207,high,0,0
competition,ukr,ukr_Cyrl,конкуренція,Competition,1.0,0.8680541515350342,high,0,0
fairness,ukr,ukr_Cyrl,справедливість,justice,0.26666666666666666,0.8690778613090515,high,1,0
justice,ukr,ukr_Cyrl,правосуддя,Justice,1.0,0.7161279916763306,medium,1,1
taboo,ukr,ukr_Cyrl,табу,It's taboo.,0.625,0.817353367805481,high,0,0
tradition,ukr,ukr_Cyrl,традиція,tradition,1.0,0.8628830909729004,high,0,0
modernity,ukr,ukr_Cyrl,сучасність,modernity,1.0,0.8712410926818848,high,0,0
sacred,ukr,ukr_Cyrl,священна,sacred,1.0,0.8007239103317261,high,0,0
secular,ukr,ukr_Cyrl,світська,worldly,0.14285714285714285,0.648431122303009,medium,1,0
conformity,ukr,ukr_Cyrl,відповідності,the correspondence,0.21428571428571427,0.6352563500404358,medium,1,0
dissent,ukr,ukr_Cyrl,розбіжності,Differences,0.4444444444444444,0.7890115976333618,medium,1,0
restraint,ukr,ukr_Cyrl,стримування,restraint,1.0,0.8133929967880249,high,0,0
indulgence,ukr,ukr_Cyrl,розпущення,fornication,0.19047619047619047,0.7877917289733887,medium,1,0
solidarity,ukr,ukr_Cyrl,Солідарність,Solidarity,1.0,0.8833113312721252,high,0,0
merit,ukr,ukr_Cyrl,заслуги,merits,0.9090909090909091,0.8326095342636108,high,0,0
trust,ukr,ukr_Cyrl,довіра,Confidence,0.0,0.8660600781440735,high,1,0
loyalty,ukr,ukr_Cyrl,лояльність,loyalty,1.0,0.8743832111358643,high,0,0
integrity,ukr,ukr_Cyrl,цілісність,integrity,1.0,0.8592212200164795,high,0,0
discretion,ukr,ukr_Cyrl,розсудність,reasonableness,0.3333333333333333,0.8342159986495972,high,1,0
humility,ukr,ukr_Cyrl,смиріння,humility,1.0,0.8437345027923584,high,0,0
