lang,pair,probe,axis,probe_axis,signed
ZH,zh_50m__vs__en_zh_a,individualism,individualism->collectivism,individualism | individualism->collectivism,0.12797850370407104
ZH,zh_50m__vs__en_zh_a,collectivism,individualism->collectivism,collectivism | individualism->collectivism,-0.12797825038433075
ZH,zh_50m__vs__en_zh_a,hierarchy,individualism->collectivism,hierarchy | individualism->collectivism,-0.04911483824253082
ZH,zh_50m__vs__en_zh_a,equality,individualism->collectivism,equality | individualism->collectivism,-0.07183978706598282
ZH,zh_50m__vs__en_zh_a,authority,individualism->collectivism,authority | individualism->collectivism,-0.06883208453655243
ZH,zh_50m__vs__en_zh_a,autonomy,individualism->collectivism,autonomy | individualism->collectivism,-0.10483386367559433
ZH,zh_50m__vs__en_zh_a,obedience,individualism->collectivism,obedience | individualism->collectivism,-0.22251644730567932
ZH,zh_50m__vs__en_zh_a,duty,individualism->collectivism,duty | individualism->collectivism,-0.026536285877227783
ZH,zh_50m__vs__en_zh_a,freedom,individualism->collectivism,freedom | individualism->collectivism,-0.07168841361999512
ZH,zh_50m__vs__en_zh_a,honor,individualism->collectivism,honor | individualism->collectivism,-0.20525449514389038
ZH,zh_50m__vs__en_zh_a,shame,individualism->collectivism,shame | individualism->collectivism,-0.059068113565444946
ZH,zh_50m__vs__en_zh_a,virtue,individualism->collectivism,virtue | individualism->collectivism,-0.12586422264575958
ZH,zh_50m__vs__en_zh_a,vice,individualism->collectivism,vice | individualism->collectivism,0.08685357123613358
ZH,zh_50m__vs__en_zh_a,respect,individualism->collectivism,respect | individualism->collectivism,-0.2794448435306549
ZH,zh_50m__vs__en_zh_a,modesty,individualism->collectivism,modesty | individualism->collectivism,0.01631559431552887
ZH,zh_50m__vs__en_zh_a,purity,individualism->collectivism,purity | individualism->collectivism,-0.2585556209087372
ZH,zh_50m__vs__en_zh_a,pollution,individualism->collectivism,pollution | individualism->collectivism,-0.060819149017333984
ZH,zh_50m__vs__en_zh_a,face,individualism->collectivism,face | individualism->collectivism,-0.19774751365184784
ZH,zh_50m__vs__en_zh_a,reputation,individualism->collectivism,reputation | individualism->collectivism,-0.18191564083099365
ZH,zh_50m__vs__en_zh_a,hospitality,individualism->collectivism,hospitality | individualism->collectivism,-0.2832184433937073
ZH,zh_50m__vs__en_zh_a,charity,individualism->collectivism,charity | individualism->collectivism,-0.15237411856651306
ZH,zh_50m__vs__en_zh_a,cooperation,individualism->collectivism,cooperation | individualism->collectivism,-0.31227928400039673
ZH,zh_50m__vs__en_zh_a,competition,individualism->collectivism,competition | individualism->collectivism,0.07989239692687988
ZH,zh_50m__vs__en_zh_a,fairness,individualism->collectivism,fairness | individualism->collectivism,0.0801975429058075
ZH,zh_50m__vs__en_zh_a,justice,individualism->collectivism,justice | individualism->collectivism,-0.10774010419845581
ZH,zh_50m__vs__en_zh_a,taboo,individualism->collectivism,taboo | individualism->collectivism,-0.17639681696891785
ZH,zh_50m__vs__en_zh_a,tradition,individualism->collectivism,tradition | individualism->collectivism,0.029746919870376587
ZH,zh_50m__vs__en_zh_a,modernity,individualism->collectivism,modernity | individualism->collectivism,0.1827600747346878
ZH,zh_50m__vs__en_zh_a,sacred,individualism->collectivism,sacred | individualism->collectivism,-0.05471401661634445
ZH,zh_50m__vs__en_zh_a,secular,individualism->collectivism,secular | individualism->collectivism,0.14701230823993683
ZH,zh_50m__vs__en_zh_a,conformity,individualism->collectivism,conformity | individualism->collectivism,-0.19573067128658295
ZH,zh_50m__vs__en_zh_a,dissent,individualism->collectivism,dissent | individualism->collectivism,-0.08647006750106812
ZH,zh_50m__vs__en_zh_a,restraint,individualism->collectivism,restraint | individualism->collectivism,-0.21560883522033691
ZH,zh_50m__vs__en_zh_a,indulgence,individualism->collectivism,indulgence | individualism->collectivism,-0.051494866609573364
ZH,zh_50m__vs__en_zh_a,solidarity,individualism->collectivism,solidarity | individualism->collectivism,-0.043618761003017426
ZH,zh_50m__vs__en_zh_a,merit,individualism->collectivism,merit | individualism->collectivism,-0.09574028849601746
ZH,zh_50m__vs__en_zh_a,trust,individualism->collectivism,trust | individualism->collectivism,-0.35441750288009644
ZH,zh_50m__vs__en_zh_a,loyalty,individualism->collectivism,loyalty | individualism->collectivism,-0.25987717509269714
ZH,zh_50m__vs__en_zh_a,integrity,individualism->collectivism,integrity | individualism->collectivism,-0.10059206187725067
ZH,zh_50m__vs__en_zh_a,discretion,individualism->collectivism,discretion | individualism->collectivism,-0.14743460714817047
ZH,zh_50m__vs__en_zh_a,humility,individualism->collectivism,humility | individualism->collectivism,-0.09597128629684448
ZH,zh_50m__vs__en_zh_a,discipline,individualism->collectivism,discipline | individualism->collectivism,-0.10264965891838074
ZH,zh_50m__vs__en_zh_a,self control,individualism->collectivism,self control | individualism->collectivism,-0.1674697995185852
ZH,zh_50m__vs__en_zh_a,deference,individualism->collectivism,deference | individualism->collectivism,-0.0476580485701561
ZH,zh_50m__vs__en_zh_a,civic individualism,individualism->collectivism,civic individualism | individualism->collectivism,0.1752304583787918
ZH,zh_50m__vs__en_zh_a,civic collectivism,individualism->collectivism,civic collectivism | individualism->collectivism,-0.10485503077507019
ZH,zh_50m__vs__en_zh_a,civic hierarchy,individualism->collectivism,civic hierarchy | individualism->collectivism,-0.03981076180934906
ZH,zh_50m__vs__en_zh_a,civic equality,individualism->collectivism,civic equality | individualism->collectivism,-0.031535662710666656
ZH,zh_50m__vs__en_zh_a,civic authority,individualism->collectivism,civic authority | individualism->collectivism,-0.002761632204055786
ZH,zh_50m__vs__en_zh_a,civic autonomy,individualism->collectivism,civic autonomy | individualism->collectivism,-0.03879304975271225
ZH,zh_50m__vs__en_zh_a,civic obedience,individualism->collectivism,civic obedience | individualism->collectivism,-0.081939697265625
ZH,zh_50m__vs__en_zh_a,civic duty,individualism->collectivism,civic duty | individualism->collectivism,-0.011433631181716919
ZH,zh_50m__vs__en_zh_a,civic freedom,individualism->collectivism,civic freedom | individualism->collectivism,-0.029599353671073914
ZH,zh_50m__vs__en_zh_a,civic honor,individualism->collectivism,civic honor | individualism->collectivism,-0.08279259502887726
ZH,zh_50m__vs__en_zh_a,civic shame,individualism->collectivism,civic shame | individualism->collectivism,-0.009597096592187881
ZH,zh_50m__vs__en_zh_a,civic virtue,individualism->collectivism,civic virtue | individualism->collectivism,-0.012029662728309631
ZH,zh_50m__vs__en_zh_a,civic vice,individualism->collectivism,civic vice | individualism->collectivism,0.07787375897169113
ZH,zh_50m__vs__en_zh_a,civic respect,individualism->collectivism,civic respect | individualism->collectivism,-0.1432397961616516
ZH,zh_50m__vs__en_zh_a,civic modesty,individualism->collectivism,civic modesty | individualism->collectivism,0.05002439022064209
ZH,zh_50m__vs__en_zh_a,civic purity,individualism->collectivism,civic purity | individualism->collectivism,-0.1321553885936737
ZH,zh_50m__vs__en_zh_a,civic pollution,individualism->collectivism,civic pollution | individualism->collectivism,0.01929839700460434
ZH,zh_50m__vs__en_zh_a,civic face,individualism->collectivism,civic face | individualism->collectivism,-0.05470600724220276
ZH,zh_50m__vs__en_zh_a,civic reputation,individualism->collectivism,civic reputation | individualism->collectivism,-0.08418401330709457
ZH,zh_50m__vs__en_zh_a,civic hospitality,individualism->collectivism,civic hospitality | individualism->collectivism,-0.15377449989318848
ZH,zh_50m__vs__en_zh_a,civic charity,individualism->collectivism,civic charity | individualism->collectivism,-0.04953193664550781
ZH,zh_50m__vs__en_zh_a,civic cooperation,individualism->collectivism,civic cooperation | individualism->collectivism,-0.14284978806972504
ZH,zh_50m__vs__en_zh_a,civic competition,individualism->collectivism,civic competition | individualism->collectivism,0.07964559644460678
ZH,zh_50m__vs__en_zh_a,civic fairness,individualism->collectivism,civic fairness | individualism->collectivism,0.06053284555673599
ZH,zh_50m__vs__en_zh_a,civic justice,individualism->collectivism,civic justice | individualism->collectivism,-0.06564417481422424
ZH,zh_50m__vs__en_zh_a,civic taboo,individualism->collectivism,civic taboo | individualism->collectivism,-0.04510081559419632
ZH,zh_50m__vs__en_zh_a,civic tradition,individualism->collectivism,civic tradition | individualism->collectivism,0.01179090142250061
ZH,zh_50m__vs__en_zh_a,civic modernity,individualism->collectivism,civic modernity | individualism->collectivism,0.17736481130123138
ZH,zh_50m__vs__en_zh_a,civic sacred,individualism->collectivism,civic sacred | individualism->collectivism,0.02736053615808487
ZH,zh_50m__vs__en_zh_a,civic secular,individualism->collectivism,civic secular | individualism->collectivism,0.13320770859718323
ZH,zh_50m__vs__en_zh_a,civic conformity,individualism->collectivism,civic conformity | individualism->collectivism,-0.08295310288667679
ZH,zh_50m__vs__en_zh_a,civic dissent,individualism->collectivism,civic dissent | individualism->collectivism,-0.03524567931890488
ZH,zh_50m__vs__en_zh_a,civic restraint,individualism->collectivism,civic restraint | individualism->collectivism,-0.09684102237224579
ZH,zh_50m__vs__en_zh_a,civic indulgence,individualism->collectivism,civic indulgence | individualism->collectivism,0.044473059475421906
ZH,zh_50m__vs__en_zh_a,civic solidarity,individualism->collectivism,civic solidarity | individualism->collectivism,-0.0014161616563796997
ZH,zh_50m__vs__en_zh_a,civic merit,individualism->collectivism,civic merit | individualism->collectivism,-0.00656566396355629
ZH,zh_50m__vs__en_zh_a,civic trust,individualism->collectivism,civic trust | individualism->collectivism,-0.18050441145896912
ZH,zh_50m__vs__en_zh_a,civic loyalty,individualism->collectivism,civic loyalty | individualism->collectivism,-0.1273094266653061
ZH,zh_50m__vs__en_zh_a,civic integrity,individualism->collectivism,civic integrity | individualism->collectivism,-0.012535251677036285
ZH,zh_50m__vs__en_zh_a,civic discretion,individualism->collectivism,civic discretion | individualism->collectivism,-0.004367511719465256
ZH,zh_50m__vs__en_zh_a,civic humility,individualism->collectivism,civic humility | individualism->collectivism,-0.011335387825965881
ZH,zh_50m__vs__en_zh_a,civic discipline,individualism->collectivism,civic discipline | individualism->collectivism,0.0014141052961349487
ZH,zh_50m__vs__en_zh_a,civic self control,individualism->collectivism,civic self control | individualism->collectivism,-0.07656247913837433
ZH,zh_50m__vs__en_zh_a,civic deference,individualism->collectivism,civic deference | individualism->collectivism,0.0023545660078525543
ZH,zh_50m__vs__en_zh_a,moral individualism,individualism->collectivism,moral individualism | individualism->collectivism,0.16732780635356903
ZH,zh_50m__vs__en_zh_a,moral collectivism,individualism->collectivism,moral collectivism | individualism->collectivism,0.03748401999473572
